,Model,Window,Neutral,Train Score,Test Score,Params,Estimator
0,Random Forest,2,0,0.57555848862134,0.4615384615384615,"{'max_depth': 3, 'n_estimators': 52}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=3, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=52, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,1,0,0.5705240387242492,0.38839285714285715,"{'max_depth': 2, 'n_estimators': 17}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=2, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=17, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,1,1,0.5693995028756541,0.375,"{'max_depth': 2, 'n_estimators': 54}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=2, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=54, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,2,1,0.5633799714496704,0.5673076923076923,"{'max_depth': 22, 'n_estimators': 53}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=22, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=53, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,4,1,0.5615704571556194,0.5256410256410257,"{'max_depth': 18, 'n_estimators': 13}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=18, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=13, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
1,XGBoost,4,1,0.5590904193246852,0.3974358974358974,"{'colsample_bytree': 0.9879406031282224, 'gamma': 2.260313783046831, 'learning_rate': 0.4801313014727763, 'max_depth': 11, 'min_child_weight': 3.325735708517902, 'n_estimators': 65, 'reg_alpha': 0.25050027892515087, 'subsample': 0.98490696511108}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9879406031282224, gamma=2.260313783046831,
       learning_rate=0.4801313014727763, max_delta_step=0, max_depth=11,
       min_child_weight=3.325735708517902, missing=None, n_estimators=65,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0.25050027892515087, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.98490696511108)"
1,XGBoost,1,0,0.5497215659607376,0.5,"{'colsample_bytree': 0.8755326247981238, 'gamma': 4.0560624912209615, 'learning_rate': 0.34314822534333733, 'max_depth': 19, 'min_child_weight': 2.9740896269632224, 'n_estimators': 16, 'reg_alpha': 0.23606256649821072, 'subsample': 0.8853104854934836}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.8755326247981238, gamma=4.0560624912209615,
       learning_rate=0.34314822534333733, max_delta_step=0, max_depth=19,
       min_child_weight=2.9740896269632224, missing=None, n_estimators=16,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0.23606256649821072, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.8853104854934836)"
1,XGBoost,1,1,0.5378795141414974,0.1919642857142857,"{'colsample_bytree': 0.8510954538351103, 'gamma': 3.730469817627491, 'learning_rate': 0.13461006086966953, 'max_depth': 13, 'min_child_weight': 1.9918997927595652, 'n_estimators': 74, 'reg_alpha': 1.3286319238268318, 'subsample': 0.9104068195129251}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.8510954538351103, gamma=3.730469817627491,
       learning_rate=0.13461006086966953, max_delta_step=0, max_depth=13,
       min_child_weight=1.9918997927595652, missing=None, n_estimators=74,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=1.3286319238268318, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9104068195129251)"
1,XGBoost,3,1,0.5273585600248005,0.48351648351648346,"{'colsample_bytree': 0.9297533685649398, 'gamma': 0.22691230357117953, 'learning_rate': 0.46463657292179983, 'max_depth': 6, 'min_child_weight': 12.912914259000058, 'n_estimators': 67, 'reg_alpha': 3.8728238357427123, 'subsample': 0.9423361056660333}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9297533685649398, gamma=0.22691230357117953,
       learning_rate=0.46463657292179983, max_delta_step=0, max_depth=6,
       min_child_weight=12.912914259000058, missing=None, n_estimators=67,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=3.8728238357427123, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9423361056660333)"
1,XGBoost,2,0,0.5265176348919439,0.49519230769230776,"{'colsample_bytree': 0.8834126288876653, 'gamma': 3.4098155992165413, 'learning_rate': 0.30429277346230466, 'max_depth': 24, 'min_child_weight': 2.0874528687973317, 'n_estimators': 84, 'reg_alpha': 1.117359000955096, 'subsample': 0.9965968888938647}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.8834126288876653, gamma=3.4098155992165413,
       learning_rate=0.30429277346230466, max_delta_step=0, max_depth=24,
       min_child_weight=2.0874528687973317, missing=None, n_estimators=84,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=1.117359000955096, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9965968888938647)"
0,Random Forest,3,1,0.524386951903461,0.434065934065934,"{'max_depth': 17, 'n_estimators': 10}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=17, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
1,XGBoost,5,1,0.5233472835774626,0.7916666666666667,"{'colsample_bytree': 0.9116313531184389, 'gamma': 1.3852437021019992, 'learning_rate': 0.4382624500441216, 'max_depth': 2, 'min_child_weight': 18.344769689565574, 'n_estimators': 95, 'reg_alpha': 1.2204056572836686, 'subsample': 0.7989079965315321}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9116313531184389, gamma=1.3852437021019992,
       learning_rate=0.4382624500441216, max_delta_step=0, max_depth=2,
       min_child_weight=18.344769689565574, missing=None, n_estimators=95,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=1.2204056572836686, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.7989079965315321)"
0,Random Forest,4,0,0.5213385445724892,0.4230769230769231,"{'max_depth': 10, 'n_estimators': 28}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=28, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
1,XGBoost,2,1,0.5205169792554702,0.5528846153846154,"{'colsample_bytree': 0.9825306061791319, 'gamma': 0.15685984551917942, 'learning_rate': 0.050557527296745335, 'max_depth': 18, 'min_child_weight': 2.0794927766691353, 'n_estimators': 17, 'reg_alpha': 6.487948416136408, 'subsample': 0.9139753282651795}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9825306061791319, gamma=0.15685984551917942,
       learning_rate=0.050557527296745335, max_delta_step=0, max_depth=18,
       min_child_weight=2.0794927766691353, missing=None, n_estimators=17,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=6.487948416136408, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9139753282651795)"
1,XGBoost,4,0,0.5166524272508102,0.5192307692307692,"{'colsample_bytree': 0.9424575235760658, 'gamma': 0.16461388202410054, 'learning_rate': 0.25371898267751375, 'max_depth': 13, 'min_child_weight': 7.955841769304589, 'n_estimators': 34, 'reg_alpha': 4.383609840695262, 'subsample': 0.9945866518671036}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9424575235760658, gamma=0.16461388202410054,
       learning_rate=0.25371898267751375, max_delta_step=0, max_depth=13,
       min_child_weight=7.955841769304589, missing=None, n_estimators=34,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=4.383609840695262, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9945866518671036)"
1,XGBoost,5,0,0.5115540009450166,0.8402777777777778,"{'colsample_bytree': 0.9188463557689154, 'gamma': 1.6373913841209198, 'learning_rate': 0.06156890282356008, 'max_depth': 9, 'min_child_weight': 6.138711184230258, 'n_estimators': 65, 'reg_alpha': 1.8740795061173898, 'subsample': 0.577840274251088}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9188463557689154, gamma=1.6373913841209198,
       learning_rate=0.06156890282356008, max_delta_step=0, max_depth=9,
       min_child_weight=6.138711184230258, missing=None, n_estimators=65,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=1.8740795061173898, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.577840274251088)"
0,Random Forest,5,1,0.507379532071233,0.625,"{'max_depth': 14, 'n_estimators': 30}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=14, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=30, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
1,XGBoost,3,0,0.5055335968379446,0.5,"{'colsample_bytree': 0.9023741254719108, 'gamma': 3.610568281048976, 'learning_rate': 0.3242002165358869, 'max_depth': 21, 'min_child_weight': 15.31923710289858, 'n_estimators': 63, 'reg_alpha': 0.9986043981834414, 'subsample': 0.9935647642363721}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9023741254719108, gamma=3.610568281048976,
       learning_rate=0.3242002165358869, max_delta_step=0, max_depth=21,
       min_child_weight=15.31923710289858, missing=None, n_estimators=63,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=0.9986043981834414, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9935647642363721)"
0,Random Forest,5,0,0.5000383620829011,0.6319444444444445,"{'max_depth': 5, 'n_estimators': 10}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,3,0,0.4930967327600001,0.5274725274725275,"{'max_depth': 5, 'n_estimators': 23}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=23, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
